Series Name,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population ages 65 and above, male",35603764,37281347,39045735,40885983,42612350,43841398,45281873,47281658,49320623,51419856
"Population ages 65 and above, female",40217956,41914690,43698562,45559944,47391566,48729429,50207224,52259267,54370752,56563231
"Population ages 65 and above, female (% of female population)",6.19188175497591,6.37739603379644,6.57507921401153,6.78299115265878,6.98535020065507,7.12127246756211,7.27755094380342,7.50650567210504,7.73837108280662,7.97687528768692
Population ages 65 and above (% of total population),5.64173085340436,5.8247052897296,6.01925951437221,6.22347304109804,6.41685302336898,6.54579069268807,6.69899975408181,6.92184330138637,7.14651714039908,7.37657146047502
"Population ages 65-69, female",15484923,16362651,17311858,18182743,18896130,19446702,19989547,20620793,21207801,21783736
"Population ages 65-69, female (% of female population)",2.38402993451214,2.48960702881493,2.60481891782294,2.70705742965945,2.78522315299131,2.84192266072074,2.89749034194866,2.96196471435466,3.0184211930549,3.07206894478669
"Population ages 65-69, male",14939584,15893349,16881262,17744267,18414252,18914090,19427801,20034388,20613163,21198458
"Population ages 65-69, male (% of male population)",2.15138476480845,2.2626590847534,2.37747457667809,2.47358203017427,2.54278870435307,2.59124070876174,2.64132836581137,2.70047707936973,2.75457940460816,2.80857817090974
"Population ages 70-74, female",10604595,10950433,11305102,11802109,12455934,13026204,13664920,14502303,15290501,15979856
"Population ages 70-74, female (% of female population)",1.63266363877707,1.66612824323925,1.70101572615777,1.757104976275,1.83596089616931,1.9036370989257,1.98073384428151,2.08310653820765,2.17623561489163,2.25357201463187
"Population ages 70-74, male",9480068,9815835,10184368,10729139,11412174,11997316,12658030,13483549,14224239,14864753
"Population ages 70-74, male (% of male population)",1.36518356516084,1.39743282164596,1.43431669975467,1.49566077837145,1.57588526597258,1.64363890035838,1.72093666261845,1.81747582865005,1.90081433866429,1.96942720112244
"Population ages 75-79, female",7331719,7478598,7626797,7800937,8005258,8135682,8303288,8590918,9016761,9606053
Population ages 0-14 (% of total population),28.3851530629213,27.8478721919213,27.3277554659182,26.832323620307,26.3453740591996,25.9051614152815,25.4877038842946,25.0570622244071,24.6239027058366,24.1952667831956
"Population ages 0-14, female",181831596,180541801,179200843,177886985,176475236,175075695,173742919,172455965,171137305,169817041
"Population ages 0-14, female (% of female population)",27.9944541352968,27.4697624192866,26.9633526600405,26.4839186110422,26.0118295039352,25.5853959580537,25.1840838782251,24.7715240264154,24.357286359965,23.9485852175067
"Population ages 0-14, male",199649050,198093854,196462625,194822123,193049643,191276108,189564729,187882029,186139712,184369128
"Population ages 0-14, male (% of male population)",28.7505956560623,28.2016612997935,27.66883749664,27.1585466186459,26.6578545574261,26.2049309940379,25.7724842798753,25.3250124537113,24.8742328896781,24.4270171008172
"Population ages 0-14, total",381480646,378635655,375663468,372709109,369524878,366351802,363307647,360337993,357277018,354186169
Population ages 15-64 (% of total population),65.9731160836743,66.3274225183491,66.6529850197096,66.944203338595,67.2377729174314,67.5490478920304,67.8132963616236,68.0210944742065,68.2295801537644,68.4281617563294
"Population ages 15-64, female",427477653,434781814,441709500,448232319,454575427,460474670,465941614,471471101,477104306,482709804
"Population ages 15-64, female (% of female population)",65.8136641097273,66.1528415469169,66.461568125948,66.733090236299,67.0028202954097,67.2933315743842,67.5383651779715,67.7219703014796,67.9043425572283,68.0745394948064
"Population ages 15-64, male",459164278,467043895,474541800,481642958,488513474,494806597,500684854,506719577,512863092,518986466
"Population ages 15-64, male (% of male population)",66.1222604470719,66.4907741442647,66.8321517598816,67.1418754368376,67.4578877753423,67.7887735130731,68.0711680751889,68.3017938385519,68.5349507306017,68.7603798172826
"Population ages 15-64, total",886641930,901825708,916251300,929875277,943088901,955281267,966626467,978190678,989967399,1001696269
"Population ages 75-79, female (% of female population)",1.12877781616553,1.13788225065005,1.14756173696803,1.16140814494733,1.17994682163265,1.18894077879047,1.20356388198383,1.23399693517683,1.28331936100117,1.35470130409405
"Population ages 75-79, male",6042784,6200170,6369273,6563601,6763527,6883335,7050266,7352820,7793934,8371700
"Population ages 75-79, male (% of male population)",0.870195172082826,0.88268820293954,0.897017333740937,0.914977524111526,0.933962457839017,0.943020715675695,0.958526781920169,0.991102017904531,1.04151937769015,1.10916438936794
"Population ages 80 and above, female",6796720,7123008,7454804,7774154,8034244,8120841,8249470,8545252,8855690,9193587
"Population ages 80 and above, male",5141328,5371992,5610832,5848977,6022397,6046656,6145776,6410901,6689287,6984943
"Population ages 80 and above, male (% of male population)",0.740380394813757,0.764784446602813,0.790202133304643,0.815357611859176,0.831621239066883,0.82839516809325,0.835555834585846,0.864138781812444,0.89390325875766,0.925433320500068
"Population ages 80 and older, female (% of female population)",1.04641036552118,1.08377851109221,1.12168283306279,1.15742060177701,1.1842193298618,1.1867719291252,1.19576287558943,1.2274374843659,1.26039491385893,1.2965330241743
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
