State,District,District_Name,Total_Pop,Male_Pop,Female_Pop,Literate_Pop,M_LIT_Total,F_LIT_Total,P_ILL_Total,M_ILL_Total,F_ILL_Total,Rural_Pop,TOT_M_Rural,TOT_F_Rural,P_LIT_Rural,M_LIT_Rural,F_LIT_Rural,P_ILL_Rural,M_ILL_Rural,F_ILL_Rural,Urban_Pop,TOT_M_Urban,TOT_F_Urban,P_LIT_Urban,M_LIT_Urban,F_LIT_Urban,P_ILL_Urban,M_ILL_Urban,F_ILL_Urban,State_Code,Literacy_Rate,Literacy_Rate_Rural,Literacy_Rate_Urban,Literacy_Gap,Urban_Pct,Rural_Pct,Sex_Ratio,District_str,pc11_d_id
HIMACHAL PRADESH,28,Hamirpur,454768.0,217070.0,237698.0,358091.0,180555.0,177536.0,96677.0,36515.0,60162.0,423338.0,200748.0,222590.0,331719.0,166483.0,165236.0,91619.0,34265.0,57354.0,31430.0,16322.0,15108.0,26372.0,14072.0,12300.0,5058.0,2250.0,2808.0,2,78.74,78.36,83.91,5.55,6.91,93.09,1095.0,28,028
HIMACHAL PRADESH,29,Una,521173.0,263692.0,257481.0,399715.0,213281.0,186434.0,121458.0,50411.0,71047.0,476260.0,240254.0,236006.0,364981.0,194476.0,170505.0,111279.0,45778.0,65501.0,44913.0,23438.0,21475.0,34734.0,18805.0,15929.0,10179.0,4633.0,5546.0,2,76.7,76.63,77.34,0.71,8.62,91.38,976.4,29,029
HIMACHAL PRADESH,30,Bilaspur,381956.0,192764.0,189192.0,287620.0,155599.0,132021.0,94336.0,37165.0,57171.0,356827.0,179653.0,177174.0,266816.0,144487.0,122329.0,90011.0,35166.0,54845.0,25129.0,13111.0,12018.0,20804.0,11112.0,9692.0,4325.0,1999.0,2326.0,2,75.3,74.77,82.79,8.02,6.58,93.42,981.5,30,030
HIMACHAL PRADESH,31,Solan,580320.0,308754.0,271566.0,428578.0,244372.0,184206.0,151742.0,64382.0,87360.0,478173.0,249736.0,228437.0,346074.0,195211.0,150863.0,132099.0,54525.0,77574.0,102147.0,59018.0,43129.0,82504.0,49161.0,33343.0,19643.0,9857.0,9786.0,2,73.85,72.37,80.77,8.4,17.6,82.4,879.6,31,031
HIMACHAL PRADESH,32,Sirmaur,529855.0,276289.0,253566.0,362645.0,205617.0,157028.0,167210.0,70672.0,96538.0,472690.0,246175.0,226515.0,316436.0,180611.0,135825.0,156254.0,65564.0,90690.0,57165.0,30114.0,27051.0,46209.0,25006.0,21203.0,10956.0,5108.0,5848.0,2,68.44,66.94,80.83,13.89,10.79,89.21,917.8,32,032
HIMACHAL PRADESH,33,Shimla,814010.0,425039.0,388971.0,612642.0,342846.0,269796.0,201368.0,82193.0,119175.0,612659.0,314295.0,298364.0,440712.0,246462.0,194250.0,171947.0,67833.0,104114.0,201351.0,110744.0,90607.0,171930.0,96384.0,75546.0,29421.0,14360.0,15061.0,2,75.26,71.93,85.39,13.46,24.74,75.26,915.1,33,033
HIMACHAL PRADESH,34,Kinnaur,84121.0,46249.0,37872.0,60699.0,36697.0,24002.0,23422.0,9552.0,13870.0,84121.0,46249.0,37872.0,60699.0,36697.0,24002.0,23422.0,9552.0,13870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,72.16,72.16,0.0,0.0,0.0,100.0,818.9,34,034
PUNJAB,35,Gurdaspur,2298323.0,1212617.0,1085706.0,1634719.0,907660.0,727059.0,663604.0,304957.0,358647.0,1639004.0,855784.0,783220.0,1116537.0,616852.0,499685.0,522467.0,238932.0,283535.0,659319.0,356833.0,302486.0,518182.0,290808.0,227374.0,141137.0,66025.0,75112.0,3,71.13,68.12,78.59,10.47,28.69,71.31,895.3,35,035
PUNJAB,36,Kapurthala,815168.0,426311.0,388857.0,576567.0,316254.0,260313.0,238601.0,110057.0,128544.0,532706.0,275932.0,256774.0,360776.0,196919.0,163857.0,171930.0,79013.0,92917.0,282462.0,150379.0,132083.0,215791.0,119335.0,96456.0,66671.0,31044.0,35627.0,3,70.73,67.73,76.4,8.67,34.65,65.35,912.1,36,036
PUNJAB,37,Jalandhar,2193590.0,1145211.0,1048379.0,1622537.0,882581.0,739956.0,571053.0,262630.0,308423.0,1032419.0,528790.0,503629.0,728134.0,392867.0,335267.0,304285.0,135923.0,168362.0,1161171.0,616421.0,544750.0,894403.0,489714.0,404689.0,266768.0,126707.0,140061.0,3,73.97,70.53,77.03,6.5,52.93,47.07,915.4,37,037
PUNJAB,38,Hoshiarpur,1586625.0,809057.0,777568.0,1199699.0,637927.0,561772.0,386926.0,171130.0,215796.0,1251656.0,634470.0,617186.0,935835.0,496632.0,439203.0,315821.0,137838.0,177983.0,334969.0,174587.0,160382.0,263864.0,141295.0,122569.0,71105.0,33292.0,37813.0,3,75.61,74.77,78.77,4.0,21.11,78.89,961.1,38,038
PUNJAB,39,Shahid Bhagat Singh Nagar,612310.0,313291.0,299019.0,438459.0,239155.0,199304.0,173851.0,74136.0,99715.0,486894.0,248118.0,238776.0,345595.0,188612.0,156983.0,141299.0,59506.0,81793.0,125416.0,65173.0,60243.0,92864.0,50543.0,42321.0,32552.0,14630.0,17922.0,3,71.61,70.98,74.04,3.06,20.48,79.52,954.4,39,039
PUNJAB,40,Fatehgarh Sahib,600163.0,320795.0,279368.0,426033.0,238696.0,187337.0,174130.0,82099.0,92031.0,414681.0,220050.0,194631.0,288340.0,160922.0,127418.0,126341.0,59128.0,67213.0,185482.0,100745.0,84737.0,137693.0,77774.0,59919.0,47789.0,22971.0,24818.0,3,70.99,69.53,74.24,4.71,30.91,69.09,870.9,40,040
PUNJAB,41,Ludhiana,3498739.0,1867816.0,1630923.0,2560225.0,1428348.0,1131877.0,938514.0,439468.0,499046.0,1429031.0,753444.0,675587.0,1002069.0,557296.0,444773.0,426962.0,196148.0,230814.0,2069708.0,1114372.0,955336.0,1558156.0,871052.0,687104.0,511552.0,243320.0,268232.0,3,73.18,70.12,75.28,5.16,59.16,40.84,873.2,41,041
PUNJAB,42,Moga,995746.0,525920.0,469826.0,627889.0,348549.0,279340.0,367857.0,177371.0,190486.0,768500.0,405704.0,362796.0,468003.0,260725.0,207278.0,300497.0,144979.0,155518.0,227246.0,120216.0,107030.0,159886.0,87824.0,72062.0,67360.0,32392.0,34968.0,3,63.06,60.9,70.36,9.46,22.82,77.18,893.3,42,042
PUNJAB,43,Firozpur,2029074.0,1071637.0,957437.0,1227511.0,707070.0,520441.0,801563.0,364567.0,436996.0,1476518.0,776208.0,700310.0,840820.0,489462.0,351358.0,635698.0,286746.0,348952.0,552556.0,295429.0,257127.0,386691.0,217608.0,169083.0,165865.0,77821.0,88044.0,3,60.5,56.95,69.98,13.03,27.23,72.77,893.4,43,043
PUNJAB,44,Muktsar,901896.0,475622.0,426274.0,524848.0,300401.0,224447.0,377048.0,175221.0,201827.0,649705.0,342202.0,307503.0,355161.0,204933.0,150228.0,294544.0,137269.0,157275.0,252191.0,133420.0,118771.0,169687.0,95468.0,74219.0,82504.0,37952.0,44552.0,3,58.19,54.66,67.29,12.63,27.96,72.04,896.2,44,044
PUNJAB,45,Faridkot,617508.0,326671.0,290837.0,381285.0,215767.0,165518.0,236223.0,110904.0,125319.0,400457.0,210782.0,189675.0,229799.0,130300.0,99499.0,170658.0,80482.0,90176.0,217051.0,115889.0,101162.0,151486.0,85467.0,66019.0,65565.0,30422.0,35143.0,3,61.75,57.38,69.79,12.41,35.15,64.85,890.3,45,045
PUNJAB,46,Bathinda,1388525.0,743197.0,645328.0,844868.0,488261.0,356607.0,543657.0,254936.0,288721.0,889308.0,474484.0,414824.0,493192.0,287532.0,205660.0,396116.0,186952.0,209164.0,499217.0,268713.0,230504.0,351676.0,200729.0,150947.0,147541.0,67984.0,79557.0,3,60.85,55.46,70.45,14.99,35.95,64.05,868.3,46,046
PUNJAB,47,Mansa,769751.0,408732.0,361019.0,423560.0,244037.0,179523.0,346191.0,164695.0,181496.0,606147.0,322184.0,283963.0,313244.0,182103.0,131141.0,292903.0,140081.0,152822.0,163604.0,86548.0,77056.0,110316.0,61934.0,48382.0,53288.0,24614.0,28674.0,3,55.03,51.68,67.43,15.75,21.25,78.75,883.3,47,047
PUNJAB,48,Patiala,1895686.0,1002522.0,893164.0,1266791.0,711052.0,555739.0,628895.0,291470.0,337425.0,1132406.0,598800.0,533606.0,688838.0,393440.0,295398.0,443568.0,205360.0,238208.0,763280.0,403722.0,359558.0,577953.0,317612.0,260341.0,185327.0,86110.0,99217.0,3,66.82,60.83,75.72,14.89,40.26,59.74,890.9,48,048
PUNJAB,49,Amritsar,2490656.0,1318408.0,1172248.0,1684770.0,932981.0,751789.0,805886.0,385427.0,420459.0,1156045.0,607266.0,548779.0,689447.0,386035.0,303412.0,466598.0,221231.0,245367.0,1334611.0,711142.0,623469.0,995323.0,546946.0,448377.0,339288.0,164196.0,175092.0,3,67.64,59.64,74.58,14.94,53.58,46.42,889.1,49,049
PUNJAB,50,Tarn Taran,1119627.0,589369.0,530258.0,666162.0,376427.0,289735.0,453465.0,212942.0,240523.0,977832.0,514322.0,463510.0,570113.0,323165.0,246948.0,407719.0,191157.0,216562.0,141795.0,75047.0,66748.0,96049.0,53262.0,42787.0,45746.0,21785.0,23961.0,3,59.5,58.3,67.74,9.44,12.66,87.34,899.7,50,050
PUNJAB,51,Rupnagar,684627.0,357485.0,327142.0,502731.0,278534.0,224197.0,181896.0,78951.0,102945.0,506820.0,264089.0,242731.0,364922.0,203376.0,161546.0,141898.0,60713.0,81185.0,177807.0,93396.0,84411.0,137809.0,75158.0,62651.0,39998.0,18238.0,21760.0,3,73.43,72.0,77.5,5.5,25.97,74.03,915.1,51,051
PUNJAB,52,Sahibzada Ajit Singh Nagar,994628.0,529253.0,465375.0,736575.0,409944.0,326631.0,258053.0,119309.0,138744.0,450017.0,240984.0,209033.0,313569.0,178533.0,135036.0,136448.0,62451.0,73997.0,544611.0,288269.0,256342.0,423006.0,231411.0,191595.0,121605.0,56858.0,64747.0,3,74.06,69.68,77.67,7.99,54.76,45.24,879.3,52,052
PUNJAB,53,Sangrur,1655169.0,878029.0,777140.0,1002077.0,570413.0,431664.0,653092.0,307616.0,345476.0,1139204.0,604653.0,534551.0,658857.0,377587.0,281270.0,480347.0,227066.0,253281.0,515965.0,273376.0,242589.0,343220.0,192826.0,150394.0,172745.0,80550.0,92195.0,3,60.54,57.83,66.52,8.69,31.17,68.83,885.1,53,053
PUNJAB,54,Barnala,595527.0,317522.0,278005.0,359831.0,201999.0,157832.0,235696.0,115523.0,120173.0,404842.0,215210.0,189632.0,234406.0,131516.0,102890.0,170436.0,83694.0,86742.0,190685.0,102312.0,88373.0,125425.0,70483.0,54942.0,65260.0,31829.0,33431.0,3,60.42,57.9,65.78,7.88,32.02,67.98,875.5,54,054
CHANDIGARH,55,Chandigarh,1055450.0,580663.0,474787.0,805438.0,465346.0,340092.0,250012.0,115317.0,134695.0,28991.0,17150.0,11841.0,19961.0,12752.0,7209.0,9030.0,4398.0,4632.0,1026459.0,563513.0,462946.0,785477.0,452594.0,332883.0,240982.0,110919.0,130063.0,4,76.31,68.85,76.52,7.67,97.25,2.75,817.7,55,055
UTTARAKHAND,56,Uttarkashi,330086.0,168597.0,161489.0,215126.0,128237.0,86889.0,114960.0,40360.0,74600.0,305781.0,155375.0,150406.0,195909.0,117095.0,78814.0,109872.0,38280.0,71592.0,24305.0,13222.0,11083.0,19217.0,11142.0,8075.0,5088.0,2080.0,3008.0,5,65.17,64.07,79.07,15.0,7.36,92.64,957.8,56,056
UTTARAKHAND,57,Chamoli,391605.0,193991.0,197614.0,280556.0,155395.0,125161.0,111049.0,38596.0,72453.0,332209.0,160369.0,171840.0,232303.0,126871.0,105432.0,99906.0,33498.0,66408.0,59396.0,33622.0,25774.0,48253.0,28524.0,19729.0,11143.0,5098.0,6045.0,5,71.64,69.93,81.24,11.31,15.17,84.83,1018.7,57,057
UTTARAKHAND,58,Rudraprayag,242285.0,114589.0,127696.0,170933.0,91803.0,79130.0,71352.0,22786.0,48566.0,232360.0,108740.0,123620.0,162944.0,86853.0,76091.0,69416.0,21887.0,47529.0,9925.0,5849.0,4076.0,7989.0,4950.0,3039.0,1936.0,899.0,1037.0,5,70.55,70.13,80.49,10.36,4.1,95.9,1114.4,58,058
UTTARAKHAND,59,Tehri Garhwal,618931.0,297986.0,320945.0,407994.0,227406.0,180588.0,210937.0,70580.0,140357.0,548792.0,259381.0,289411.0,352776.0,195356.0,157420.0,196016.0,64025.0,131991.0,70139.0,38605.0,31534.0,55218.0,32050.0,23168.0,14921.0,6555.0,8366.0,5,65.92,64.28,78.73,14.45,11.33,88.67,1077.0,59,059
UTTARAKHAND,60,Dehradun,1696694.0,892199.0,804495.0,1259506.0,702216.0,557290.0,437188.0,189983.0,247205.0,754753.0,392891.0,361862.0,517836.0,292382.0,225454.0,236917.0,100509.0,136408.0,941941.0,499308.0,442633.0,741670.0,409834.0,331836.0,200271.0,89474.0,110797.0,5,74.23,68.61,78.74,10.13,55.52,44.48,901.7,60,060
UTTARAKHAND,61,Garhwal,687271.0,326829.0,360442.0,494889.0,262148.0,232741.0,192382.0,64681.0,127701.0,574568.0,268029.0,306539.0,404558.0,213355.0,191203.0,170010.0,54674.0,115336.0,112703.0,58800.0,53903.0,90331.0,48793.0,41538.0,22372.0,10007.0,12365.0,5,72.01,70.41,80.15,9.74,16.4,83.6,1102.8,61,061
UTTARAKHAND,62,Pithoragarh,483439.0,239306.0,244133.0,345550.0,189623.0,155927.0,137889.0,49683.0,88206.0,413834.0,202930.0,210904.0,289256.0,159729.0,129527.0,124578.0,43201.0,81377.0,69605.0,36376.0,33229.0,56294.0,29894.0,26400.0,13311.0,6482.0,6829.0,5,71.48,69.9,80.88,10.98,14.4,85.6,1020.2,62,062
UTTARAKHAND,63,Bageshwar,259898.0,124326.0,135572.0,179483.0,97546.0,81937.0,80415.0,26780.0,53635.0,250819.0,119615.0,131204.0,172166.0,93588.0,78578.0,78653.0,26027.0,52626.0,9079.0,4711.0,4368.0,7317.0,3958.0,3359.0,1762.0,753.0,1009.0,5,69.06,68.64,80.59,11.95,3.49,96.51,1090.5,63,063
UTTARAKHAND,64,Almora,622506.0,291081.0,331425.0,436497.0,231604.0,204893.0,186009.0,59477.0,126532.0,560192.0,257359.0,302833.0,383089.0,201819.0,181270.0,177103.0,55540.0,121563.0,62314.0,33722.0,28592.0,53408.0,29785.0,23623.0,8906.0,3937.0,4969.0,5,70.12,68.39,85.71,17.32,10.01,89.99,1138.6,64,064
