State,Year,TFR
Karnataka,1990,3.2
Karnataka,1991,3.1
Karnataka,1992,2.9
Karnataka,1993,2.9
Karnataka,1994,2.8
Karnataka,1995,2.7
Karnataka,1996,2.6
Karnataka,1997,2.5
Karnataka,1998,2.4
Karnataka,1999,2.5
Karnataka,2000,2.4
Karnataka,2001,2.4
Karnataka,2002,2.4
Karnataka,2003,2.3
Karnataka,2004,2.3
Karnataka,2005,2.2
Karnataka,2006,2.1
Karnataka,2007,2.1
Karnataka,2008,2.0
Karnataka,2009,2.0
Karnataka,2010,2.0
Kerala,1971,4.1
Kerala,1972,4.1
Kerala,1973,3.8
Kerala,1974,3.3
Kerala,1975,3.4
Kerala,1976,3.4
Kerala,1977,3.0
Kerala,1978,2.9
Kerala,1979,3.0
Kerala,1980,3.0
Kerala,1981,2.8
Kerala,1982,2.9
Kerala,1983,2.6
Kerala,1984,2.4
Kerala,1985,2.4
Kerala,1986,2.3
Kerala,1987,2.2
Kerala,1988,2.0
Kerala,1989,2.0
Kerala,1990,1.9
Kerala,1991,1.8
Kerala,1992,1.7
Kerala,1993,1.7
Kerala,1994,1.7
Kerala,1995,1.8
Kerala,1996,1.8
Kerala,1997,1.8
Kerala,1998,1.8
Kerala,1999,1.8
Kerala,2000,1.9
Kerala,2001,1.8
Kerala,2002,1.8
Kerala,2003,1.8
Kerala,2004,1.7
Kerala,2005,1.7
Kerala,2006,1.7
Kerala,2007,1.7
Kerala,2008,1.7
Kerala,2009,1.7
Kerala,2010,1.8
Madhya Pradesh,1971,5.6
Madhya Pradesh,1972,5.9
Madhya Pradesh,1973,5.5
Madhya Pradesh,1974,5.4
Madhya Pradesh,1975,6.0
Madhya Pradesh,1976,5.8
Madhya Pradesh,1977,5.5
Madhya Pradesh,1978,5.3
Madhya Pradesh,1979,5.4
Madhya Pradesh,1980,5.2
Madhya Pradesh,1981,5.2
Madhya Pradesh,1982,5.3
Madhya Pradesh,1983,5.2
Madhya Pradesh,1984,5.1
Madhya Pradesh,1985,4.6
Madhya Pradesh,1986,4.9
Madhya Pradesh,1987,4.7
Madhya Pradesh,1988,4.7
Madhya Pradesh,1989,4.7
Madhya Pradesh,1990,4.8
Madhya Pradesh,1991,4.6
Madhya Pradesh,1992,4.4
Madhya Pradesh,1993,4.2
Madhya Pradesh,1994,4.2
Madhya Pradesh,1995,4.2
Madhya Pradesh,1996,4.1
Madhya Pradesh,1997,4.0
Madhya Pradesh,1998,3.9
Madhya Pradesh,1999,3.9
Madhya Pradesh,2000,4.0
Madhya Pradesh,2001,3.9
Madhya Pradesh,2002,3.8
Madhya Pradesh,2003,3.8
Madhya Pradesh,2004,3.7
Madhya Pradesh,2005,3.6
Madhya Pradesh,2006,3.5
Madhya Pradesh,2007,3.4
Madhya Pradesh,2008,3.3
Madhya Pradesh,2009,3.3
Madhya Pradesh,2010,3.2
Maharashtra,1971,4.6
Maharashtra,1972,4.5
Maharashtra,1973,3.9
Maharashtra,1974,4.1
Maharashtra,1975,4.4
Maharashtra,1976,3.9
Maharashtra,1977,3.4
Maharashtra,1978,3.5
Maharashtra,1979,3.5
Maharashtra,1980,3.7
Maharashtra,1981,3.6
Maharashtra,1982,3.8
Maharashtra,1983,3.7
Maharashtra,1984,3.8
Maharashtra,1985,3.5
Maharashtra,1986,3.6
Maharashtra,1987,3.5
Maharashtra,1988,3.5
Maharashtra,1989,3.4
Maharashtra,1990,3.2
Maharashtra,1991,3.0
Maharashtra,1992,2.9
Maharashtra,1993,2.9
Maharashtra,1994,2.9
Maharashtra,1995,2.9
Maharashtra,1996,2.8
Maharashtra,1997,2.7
Maharashtra,1998,2.7
Maharashtra,1999,2.5
Maharashtra,2000,2.5
Maharashtra,2001,2.4
Maharashtra,2002,2.3
Maharashtra,2003,2.3
Maharashtra,2004,2.2
Maharashtra,2005,2.2
Maharashtra,2006,2.1
Maharashtra,2007,2.0
Maharashtra,2008,2.0
Maharashtra,2009,1.9
Maharashtra,2010,1.9
Odisha,1971,4.7
Odisha,1972,4.6
Odisha,1973,4.8
Odisha,1974,4.7
Odisha,1975,4.6
Odisha,1976,4.7
Odisha,1977,4.0
Odisha,1978,4.5
Odisha,1979,4.1
Odisha,1980,4.1
Odisha,1981,4.3
Odisha,1982,4.3
Odisha,1983,4.5
Odisha,1984,4.3
Odisha,1985,3.8
Odisha,1986,4.2
Odisha,1987,3.7
Odisha,1988,3.8
Odisha,1989,3.6
Odisha,1990,3.5
Odisha,1991,3.3
Odisha,1992,3.1
Odisha,1993,3.1
Odisha,1994,3.3
Odisha,1995,3.3
Odisha,1996,3.1
Odisha,1997,3.0
Odisha,1998,2.9
Odisha,1999,2.7
Odisha,2000,2.8
Odisha,2001,2.6
Odisha,2002,2.6
Odisha,2003,2.6
Odisha,2004,2.7
Odisha,2005,2.6
Odisha,2006,2.5
Odisha,2007,2.4
Odisha,2008,2.4
Odisha,2009,2.4
Odisha,2010,2.3
Punjab,1971,5.2
Punjab,1972,5.3
Punjab,1973,5.1
Punjab,1974,4.8
Punjab,1975,4.7
Punjab,1976,4.8
Punjab,1977,4.4
Punjab,1978,4.0
Punjab,1979,3.7
Punjab,1980,4.0
Punjab,1981,4.0
Punjab,1982,4.0
Punjab,1983,4.0
Punjab,1984,3.8
Punjab,1985,3.5
Punjab,1986,3.4
Punjab,1987,3.4
Punjab,1988,3.4
Punjab,1989,3.3
Punjab,1990,3.2
Punjab,1991,3.1
Punjab,1992,3.1
Punjab,1993,3.0
Punjab,1994,2.9
Punjab,1995,2.9
Punjab,1996,2.8
Punjab,1997,2.7
Punjab,1998,2.6
Punjab,1999,2.5
Punjab,2000,2.4
Punjab,2001,2.4
Punjab,2002,2.3
Punjab,2003,2.3
Punjab,2004,2.2
Punjab,2005,2.1
Punjab,2006,2.1
Punjab,2007,2.0
Punjab,2008,1.9
Punjab,2009,1.9
Punjab,2010,1.8
Rajasthan,1971,6.3
Rajasthan,1972,5.6
Rajasthan,1973,5.4
Rajasthan,1974,5.4
Rajasthan,1975,5.4
Rajasthan,1976,4.9
Rajasthan,1977,5.0
Rajasthan,1978,5.1
Rajasthan,1979,5.2
Rajasthan,1980,5.6
Rajasthan,1981,5.2
Rajasthan,1982,5.3
Rajasthan,1983,5.9
Rajasthan,1984,5.7
Rajasthan,1985,5.5
Rajasthan,1986,5.0
Rajasthan,1987,4.8
Rajasthan,1988,4.5
Rajasthan,1989,4.7
Rajasthan,1990,4.5
Rajasthan,1991,4.6
Rajasthan,1992,4.5
Rajasthan,1993,4.5
Rajasthan,1994,4.5
