States,Districts,Fertility (%) - Births to women aged 15-19 years out of total births3,Fertility (%) - Women aged 20-24 years reporting birth order of 2 & above,Fertility (%) - Women aged 15-49 years who reported birth order of 3 & above,Fertility (%) - Women with two children wanting no more children,Fertility (%) - Mean no. of children ever born to women age 40-49 years
West Bengal,Koch Bihar,7.6,34.8,16.3,86.7,2.7
West Bengal,Uttar Dinajpur,4.5,36.2,37.3,76.4,3.9
West Bengal,Dakhin Dinajpur,6.7,30.9,13.5,94.2,3.1
West Bengal,Maldah,7,39.8,20.6,88.1,3.2
West Bengal,Murshidabad,11.6,45,30.2,75.4,3.6
West Bengal,Birbhum,12.8,54.8,18.2,83.9,2.8
West Bengal,Barddhaman,14,41,20.1,84.6,3
West Bengal,Nadia,14.9,25.5,12.9,90.3,2.8
West Bengal,North 24 parganas,21.5,27.7,13.9,78,2.5
West Bengal,Hugli,8.4,25,8.6,88.5,2.4
West Bengal,Bankura,12.8,33.1,11.7,81.6,2.8
West Bengal,Puruliya,6.1,41.8,24.6,79.3,3
West Bengal,Paschim Medinipur,7.4,33.1,12.1,86.8,2.5
West Bengal,Haora,5.4,24.2,16.4,84.7,2.9
West Bengal,Kolkata,3.6,21.4,13.2,67.7,2.2
West Bengal,South 24 Parganas,12.1,29,19.5,77,3.1
West Bengal,Purba Medinipur,13,24.5,9.8,90.5,2.8
