States     Districts  Fertility (Fertility (Fertility (Fertility (Fertility (
MaharashtraSindhudurg 1.8        16         15.5       79         2.4        
MaharashtraKolhapur   1.8        34.9       10.7       74.4       2.3        
MaharashtraSangli     8.7        44.7       17.3       66.4       2.5        
Manipur    Total      2.2        28.8       31.2       46.6       3.1        
Manipur    Senapati   3.2        29.9       43         32.9       4          
Manipur    Tamenglong 1.8        22.7       38.3       41.2       2.8        
Manipur    Churachandp2.4        43.1       43.2       35.9       3.1        
Manipur    Bishnupur  3.2        29.9       23.3       52.7       2.9        
Manipur    Thoubal    1.8        22.7       23.1       49.8       2.9        
Manipur    Imphal West2.4        43.1       12.6       53.7       2.5        
Manipur    Imphal East1.9        33.8       22.9       51.2       2.9        
Manipur    Ukhrul     0.8        36.4       50         35.5       3.8        
Manipur    Chandel    4.5        34         29.7       49.6       3.8        
Meghalaya  Total      3.5        43.2       49.8       24.1       4          
Meghalaya  West Garo H2.9        23.1       35.7       26         2.2        
Meghalaya  East Garo H5.5        40         50.2       18.6       3.7        
Meghalaya  South Garo 4          69.2       17         52.4       3.4        
Meghalaya  West Khasi 1.9        43.6       55.4       31         4.7        
Meghalaya  Ri Bhoi    4.4        45.3       54.2       39.4       4.9        
Meghalaya  East Khasi 1          40         41.5       31.2       3.9        
Meghalaya  Jaintia Hil5.1        48.6       59.1       41.2       5.3        
Mizoram    Total      2.9        46.3       42.1       10.1       3.4        
Mizoram    Mamit      4          48.8       43.7       12.2       3.4        
Mizoram    Kolasib    1.8        45.7       44.1       17.8       3.4        
Mizoram    Aizawl     1          33.9       37.1       16.3       3          
Mizoram    Champhai   2.9        37.8       43.1       13.3       3.4        
Mizoram    Serchhip   3.6        43.6       46         27         3.5        
Mizoram    Lunglei    4.4        51.5       43.3       16.4       3.2        
Mizoram    Lawngtlai  4.8        51.1.      41.7       34.1       3.3        
Mizoram    Saiha      2.7        54.7       48.7       23.4       3.4        
Nagaland   Total      3.5        39         40.7       49         3.1        
Nagaland   Mon        1.3        40         50         55.9       3.7        
Nagaland   Tuensang   2.2        41.7       52.3       62.8       2.7        
Nagaland   Mokokchung 1          29         28.4       73.2       2.9        
Nagaland   Zunheboto  0          33.3       14.9       47.5       3.1        
Nagaland   Wokha      4          40.7       35.2       63.3       3.3        
Nagaland   Dimapur    7.7        44.4       38.6       72         3.6        
Nagaland   Kohima     5.9        48.6       38.2       64.7       2.9        
Nagaland   Phek       0          0          9.4        52.7       3.5        
Nagaland   Kiphire    0          27.3       44         68.3       2.5        
Nagaland   Longleng   0          22.2       34.8       60.4       3.5        
Nagaland   Paren      0          40         46.6       32.7       2.9        
PudducherryTotal      2.7        32.2       10.6       47.4       2.3        
PudducherryYanam      7          39.7       7.8        72.4       2.4        
PudducherryPondicherry0.5        36.7       8          44.4       2.2        
PudducherryMahe       0          18.9       14.5       55.4       2.1        
PudducherryKaraikal   3.7        18.4       10.8       32.9       2.4        
Punjab     Total      2          30.3       19.5       81.9       2.8        
Punjab     Gurdaspur  0.5        18.4       15.3       86.1       2.6        
Punjab      Amritsar  0          32.7       17.5       90         2.5        
Punjab     Kapurthala 0          21.1       17.7       77.4       2.4        
Punjab      Jalandhar 0          27.7       17.8       82.9       2.5        
Punjab     Hoshiarpur 1.1        20         17         86.1       2.7        
Punjab     Shahid Bhag1.4        17.1       16.2       88.5       2.8        
Punjab     Rupnagar   0.3        31.9       16         82.8       2.8        
Punjab     Fatehgarh S0.6        28.2       17         78.8       2.7        
Punjab     Ludhiana   1.7        29.5       22.9       87.1       2.9        
Punjab     Moga       1.8        35.6       24.7       83.3       3.1        
Punjab     Firozpur   5.1        35.6       23.2       79.5       3.1        
Punjab     Muktsar    1.6        31.8       24         86.2       3          
Punjab     Faridkot   2.1        31.8       21.7       72.2       2.9        
Punjab     Bhathinda  3          30         18.7       85.9       2.9        
Punjab     Mansa      3.2        31.4       19.3       77.7       2.8        
Punjab     Sangrur    1.1        25.6       17.6       82.7       2.8        
Punjab     Patiala    2.2        25.9       16.3       82.1       2.7        
Punjab     SAS Nagar  0.9        29.9       9.7        81.9       2.5        
Punjab     Barnala    4.7        34.2       22.3       76.7       2.9        
Punjab     Taran Taran5          41.8       25.2       72.1       2.9        
Sikkim     Total      6.8        28.9       18.2       88.6       3          
Sikkim     North      4.1        27.9       21.2       84.7       3.2        
Sikkim     West       10.5       37.9       20.7       91.2       3          
Sikkim     South      6.8        33.7       18.1       94.2       2.9        
Sikkim     East       3.2        11.4       13.8       88.8       2.6        
Tamil Nadu Total      4.2        33.6       12.6       39.5       2.3        
Tamil Nadu Thiruvallur8.3        34.3       8.6        42.8       2.4        
Tamil Nadu Chennai    1.1        28.9       6.2        43.9       2          
Tamil Nadu Khancheepur1.5        29.4       8.1        28.9       2.5        
Tamil Nadu Vellore    6.3        42.4       20.2       42.4       2.7        
Tamil Nadu Dharmapuri 6.4        45.9       20.7       45.5       2.6        
Tamil Nadu Tiruvannama10.7       44         17.5       24.5       2.4        
Tamil Nadu Viluppuram 5.8        35.1       17         37.7       2.6        
Tamil Nadu Salem      7.3        40.8       15.1       36.2       2.6        
Tamil Nadu Namakkal   6.7        31         9.9        44.5       2.2        
Tamil Nadu Erode      4.2        24.4       7          43.9       2.1        
Tamil Nadu Nilgiris   2.7        26.5       8.3        47.5       2.1        
Tamil Nadu Coimbatore 2.5        31         2.8        20.3       2          
Tamil Nadu Dindigul   9.7        32.4       9.3        38.6       2.4        
Tamil Nadu Karur      6.5        28.4       10.4       50.2       2.2        
Tamil Nadu Tiruchirapp4.8        33.3       11.4       56.5       2.4        
Tamil Nadu Perambalur 2.5        38.8       15.9       44.3       2.4        
Tamil Nadu Ariyalur   0.6        32.1       18.4       34         2.7        
Tamil Nadu Cuddalore  4.5        36.2       14.4       31.8       2.2        
Tamil Nadu Nagapattina2.6        28.6       15.5       49         2.6        
Tamil Nadu Thiruvarur 1.5        31.8       14.7       34.6       2.4        
Tamil Nadu Thanjavur  4.3        32.8       14.7       63.3       2.4        
Tamil Nadu Pudukkottai1.3        21.7       13.9       32.8       2.6        
Tamil Nadu Sivaganga  3.4        28.5       13.9       48.3       2.6        
